Baneh;IR;35.9975;45.8853;Baneh;104799
Bandar-e Lengeh;IR;26.55792;54.88067;Bandar-e Lengeh;22768
Bandar-e Anzali;IR;37.47318;49.45785;Bandar-e Anzali;110826
Bandar Abbas;IR;27.1865;56.2808;Bandar Abbas;352173
Bam;IR;29.106;58.357;Bam;99268
Bahar;IR;34.9072;48.4414;Bahar;28645
Bafq;IR;31.6035;55.40249;Bafq;31215
Babolsar;IR;36.70251;52.6576;Babolsar;48051
Babol;IR;36.55132;52.67895;Babol;202796
Azna;IR;33.6095;48.9307;Azna;47482
Hashtrud;IR;37.4779;47.0508;Hashtrud;16888
Astara;IR;38.4291;48.872;Astara;39065
Astaneh-ye Ashrafiyeh;IR;37.26318;49.94325;Astaneh-ye Ashrafiyeh;42784
Asadabad;IR;34.78241;48.12012;Asadabad;59617
Ardestan;IR;33.3761;52.3694;Ardestan;16058
Ardakan;IR;32.31001;54.01747;Ardakan;58834
Ardabil;IR;38.2498;48.2933;Ardabil;410753
Arak;IR;34.09493;49.69809;Arak;503647
Amol;IR;36.46961;52.35072;Amol;199382
Alvand;IR;36.31885;49.16773;Alvand;74889
Shahriar;IR;35.65884;51.05775;Shahriar;58849
Aligudarz;IR;33.404;49.69179;Aligudarz;91041
Aleshtar;IR;33.86419;48.26258;Aleshtar;27701
Akbarabad;IR;29.2464;52.7793;Akbarabad;98342
`Ajab Shir;IR;37.4776;45.8943;`Ajab Shir;29675
Ahvaz;IR;31.31901;48.6842;Ahvaz;841145
Ahar;IR;38.4774;47.0699;Ahar;94348
Aghajari;IR;30.7006;49.8315;Aghajari;21785
Abyek;IR;36.06667;50.55;Abyek;55128
Abhar;IR;36.1468;49.218;Abhar;69889
Abdanan;IR;32.9926;47.4198;Abdanan;19360
Abadeh;IR;31.1608;52.6506;Abadeh;56988
Abadan;IR;30.3392;48.3043;Abadan;370180
Saurimo;AO;-9.66078;20.39155;Saurimo;40498
Lucapa;AO;-8.41915;20.74466;Lucapa;20115
Paphos;CY;34.77679;32.42451;Paphos;35961
Nicosia;CY;35.17531;33.3642;Nicosia;200452
Limassol;CY;34.68406;33.03794;Limassol;154000
Larnaca;CY;34.92291;33.6233;Larnaca;72000
Kyrenia;CY;35.33634;33.31729;Kyrenia;26701
Famagusta;CY;35.12054;33.93894;Famagusta;42526
Xankandi;AZ;39.8177;46.7528;Xankandi;53100
Ahmadbayli;AZ;39.88074;48.39158;Ahmadbayli;17242
Shushi;AZ;39.76006;46.74989;Shushi;18662
Salyan;AZ;39.59621;48.98479;Salyan;36555
Saatli;AZ;39.93214;48.36892;Saatli;87000
Neftcala;AZ;39.3768;49.247;Neftcala;18661
Nakhchivan;AZ;39.20889;45.41222;Nakhchivan;64754
Lankaran;AZ;38.75428;48.85062;Lankaran;240300
Imishli;AZ;39.87095;48.05995;Imishli;34178
Fizuli;AZ;39.60094;47.14529;Fizuli;26765
Jalilabad;AZ;39.20963;48.49186;Jalilabad;36259
Beylagan;AZ;39.77556;47.61861;Beylagan;15599
Astara;AZ;38.45598;48.87498;Astara;15190
Sirvan;AZ;39.93778;48.929;Sirvan;70220
Agdam;AZ;39.99096;46.92736;Agdam;39451
Zanzibar;TZ;-6.16394;39.19793;Zanzibar;403658
Wete;TZ;-5.05589;39.72938;Wete;26450
Vwawa;TZ;-9.10806;32.93472;Vwawa;40145
Vikindu;TZ;-7.00667;39.29849;Vikindu;23307
Uyovu;TZ;-3.28333;31.52583;Uyovu;60849
Uvinza;TZ;-5.10361;30.39111;Uvinza;24650
Ushirombo;TZ;-3.49194;31.96389;Ushirombo;95052
Usevia;TZ;-7.1;31.23333;Usevia;17742
Usagara;TZ;-2.68333;33;Usagara;15514
Usa River;TZ;-3.36667;36.85;Usa River;18726
Urambo;TZ;-5.06667;32.05;Urambo;23724
Tunduma;TZ;-9.3;32.76667;Tunduma;36556
Tumbi;TZ;-5.06667;32.73333;Tumbi;32900
Tukuyu;TZ;-9.25;33.65;Tukuyu;28398
Tinde;TZ;-3.88333;33.2;Tinde;22082
Tarime;TZ;-1.35;34.36667;Tarime;33094
Tanga;TZ;-5.06893;39.09875;Tanga;224876
Tabora;TZ;-5.01622;32.82663;Tabora;145292
Sumbawanga;TZ;-7.96667;31.61667;Sumbawanga;89161
Songwa;TZ;-3.51667;33.51667;Songwa;23618
Somanda;TZ;-3.36667;33.95;Somanda;33932
Sokoni;TZ;-6.43333;39.55;Sokoni;25821
Sirari;TZ;-1.25367;34.47596;Sirari;24317
Singida;TZ;-4.81629;34.74358;Singida;62432
Sikonge;TZ;-5.63333;32.76667;Sikonge;27113
Shinyanga;TZ;-3.66393;33.42118;Shinyanga;107362
Shelui;TZ;-4.36667;34.2;Shelui;24817
Sepuka;TZ;-4.75;34.53333;Sepuka;25657
Same;TZ;-4.06667;37.73333;Same;17455
Rulenge;TZ;-2.7175;30.6325;Rulenge;22069
Rujewa;TZ;-8.7;34.38333;Rujewa;29228
Puma;TZ;-5;34.73333;Puma;17092
Old Shinyanga;TZ;-3.55;33.4;Old Shinyanga;23747
Nzega;TZ;-4.21667;33.18333;Nzega;26584
Nyamuswa;TZ;-1.9;34.01667;Nyamuswa;16507
Nyalikungu;TZ;-3.18333;33.78333;Nyalikungu;24648
Nyakabindi;TZ;-2.63333;33.98333;Nyakabindi;18428
Nsunga;TZ;-1.14389;31.39472;Nsunga;20049
Nshamba;TZ;-1.79833;31.55111;Nshamba;19815
Njombe;TZ;-9.34917;34.77167;Njombe;46724
Nguruka;TZ;-5.10917;31.04194;Nguruka;39135
Ngudu;TZ;-2.96667;33.33333;Ngudu;22658
Ngerengere;TZ;-6.75;38.11667;Ngerengere;17181
Ngara;TZ;-2.51222;30.65583;Ngara;16890
Nangwa;TZ;-4.46667;35.45;Nangwa;18595
Namanyere;TZ;-7.51667;31.05;Namanyere;28218
Mwanza;TZ;-2.51667;32.9;Mwanza;436801
Mwadui;TZ;-3.55;33.6;Mwadui;23296
Mvomero;TZ;-6.25;38.66667;Mvomero;31324
Musoma;TZ;-1.5;33.8;Musoma;121119
Muriti;TZ;-1.98333;32.91667;Muriti;20254
Mungaa;TZ;-4.96667;34.88333;Mungaa;16715
Muheza;TZ;-5.16667;38.78333;Muheza;17000
Mugumu;TZ;-1.85;34.7;Mugumu;18431
Mtwango;TZ;-9.01667;34.8;Mtwango;19040
Mto wa Mbu;TZ;-3.35;35.85;Mto wa Mbu;17754
Mtinko;TZ;-4.55;34.85;Mtinko;26725
Msowero;TZ;-6.53333;37.2;Msowero;17861
Mpwapwa;TZ;-6.35;36.48333;Mpwapwa;19806
Mpanda;TZ;-6.34379;31.06951;Mpanda;73338
Moshi;TZ;-3.35;37.33333;Moshi;156959
Morogoro;TZ;-6.82102;37.66122;Morogoro;250902
Mlowo;TZ;-9;32.98333;Mlowo;18737
Mlimba;TZ;-8.8;35.81667;Mlimba;34970
Mlangali;TZ;-9.78333;34.51667;Mlangali;15168
Mlandizi;TZ;-6.7;38.73333;Mlandizi;29394
Mlalo;TZ;-4.93333;38.93333;Mlalo;15576
Mkuranga;TZ;-7.11799;39.20782;Mkuranga;28037
Mwandiga;TZ;-4.83;29.65806;Mwandiga;16822
Misungwi;TZ;-2.85;33.08333;Misungwi;35530
Mikumi;TZ;-7.40409;36.98309;Mikumi;16780
Mhango;TZ;-3.28333;32.85;Mhango;21553
Mgandu;TZ;-5.95;34.13333;Mgandu;23718
Mbuguni;TZ;-3.56667;36.95;Mbuguni;16442
Mbeya;TZ;-8.9;33.45;Mbeya;291649
Mazinde;TZ;-4.8;38.21667;Mazinde;20534
Matui;TZ;-4.8;38.25;Matui;20241
Matai;TZ;-8.3;31.51667;Matai;24070
Maswa;TZ;-2.68333;33.98333;Maswa;22025
Masumbwe;TZ;-3.63333;32.18333;Masumbwe;34780
Maramba;TZ;-5.05;38.61667;Maramba;26531
Malinyi;TZ;-8.93333;36.13333;Malinyi;27041
Malampaka;TZ;-3.13333;33.53333;Malampaka;16916
Makuyuni;TZ;-4.73333;38.1;Makuyuni;15516
Makumbako;TZ;-8.85;34.83333;Makumbako;53003
