geonameid,sciiname,countrycode,fclass,fcode,latitude,longitude,moddate,name,population
4362459,Mill Creek,US,H,STM,38.82511,-75.85605,,Mill Creek,0
4364194,Oak Lea,US,P,PPL,39.27761,-76.85636,,Oak Lea,0
4362070,McKeldin Fountain,US,L,PRK,39.28622,-76.61274,,McKeldin Fountain,0
4357522,Harris Wharf (historical),US,S,WHRF,39.09261,-76.20856,,Harris Wharf (historical),0
4361818,Marvin Memorial United Methodist Church,US,S,CH,39.144,-75.86244,,Marvin Memorial United Methodist Church,0
"4360386,Laurel Harness Racing Track,US,S,"""",39.12761,-76.82331,,Laurel Harness Racing Track,0"
4358557,Horsehead,US,P,PPL,38.64984,-76.77136,,Horsehead,0
4361698,Marlboro Heliport,US,S,AIRH,38.80345,-76.73747,,Marlboro Heliport,0
4358849,Idlewild Park,US,L,PRK,38.76345,-76.07189,,Idlewild Park,0
4362982,Mount Hermon Church,US,S,CH,39.63481,-78.71863,,Mount Hermon Church,0
4356307,Glenville,US,P,PPL,39.61011,-76.21579,,Glenville,0
4356885,Greendale School,US,S,SCH,38.89206,-76.90442,,Greendale School,0
4365359,Picnicking Museum Gardens,US,L,PRK,39.43677,-77.40526,,Picnicking Museum Gardens,0
4363147,Mount Sinai Baptist Church,US,S,CH,39.30511,-76.60413,,Mount Sinai Baptist Church,0
4364611,Oregon School (historical),US,S,SCH,39.63927,-77.14554,,Oregon School (historical),0
4365341,Phoenix 2 at Emory Grove Center School,US,S,SCH,39.15455,-77.16359,,Phoenix 2 at Emory Grove Center School,0
4363326,Moxley Acres,US,P,PPL,39.55566,-76.25912,,Moxley Acres,0
4365498,Pinesburg Cemetery,US,S,CMTY,39.62982,-77.86027,,Pinesburg Cemetery,0
4362752,Montpelier Elementary School,US,S,SCH,39.05431,-76.8458,,Montpelier Elementary School,0
4355978,Gateway Church of Christ,US,S,CH,38.45345,-75.71576,,Gateway Church of Christ,0
4364735,Owings Mills Town Center Shopping Center,US,S,MALL,39.41011,-76.78998,,Owings Mills Town Center Shopping Center,0
"4361873,Maryland State Fair Grounds,US,S,"""",39.44455,-76.62997,,Maryland State Fair Grounds,0"
4365457,Pine Orchard Church of the Brethren,US,S,CH,39.28261,-76.87109,,Pine Orchard Church of the Brethren,0
4359607,Joppa Branch Harford County Library,US,S,LIBR,39.41205,-76.35551,,Joppa Branch Harford County Library,0
4364172,Oak Grove Church,US,S,CH,39.31594,-79.34699,,Oak Grove Church,0
4363921,North Fork Muddy Creek Marsh,US,H,SWMP,38.88483,-76.56048,,North Fork Muddy Creek Marsh,0
4362106,Meade Village,US,P,PPL,39.12539,-76.70525,,Meade Village,0
4361293,Lovely Lane United Methodist Church,US,S,CH,39.31455,-76.6158,,Lovely Lane United Methodist Church,0
4359886,Kimbrough United States Army Hospital,US,S,HSP,39.09766,-76.72891,,Kimbrough United States Army Hospital,0
4364652,Our Lady of Good Counsel Catholic Church,US,S,CH,38.61039,-75.95133,,Our Lady of Good Counsel Catholic Church,0
"4359697,Keeler Glade,US,S,"""",39.62953,-79.47782,,Keeler Glade,0"
4361098,Lone Holly,US,P,PPL,38.29096,-76.9158,,Lone Holly,0
4361189,Long Point,US,T,CAPE,38.24096,-76.72191,,Long Point,0
4361180,Long Point,US,T,CAPE,39.21539,-76.04356,,Long Point,0
4357343,Hanover Street Bridge,US,S,BDG,39.25816,-76.61608,,Hanover Street Bridge,0
4364679,Our Savior Lutheran Church,US,S,CH,38.60012,-77.13081,,Our Savior Lutheran Church,0
4358959,Indian Village Branch,US,H,STM,39.09872,-76.52968,,Indian Village Branch,0
4361391,Lynch Estates,US,P,PPL,39.50343,-77.59332,,Lynch Estates,0
4362753,Montpelier Forest,US,P,PPL,39.06844,-76.86414,,Montpelier Forest,0
4364112,Notch Cliff,US,P,PPL,39.44372,-76.51024,,Notch Cliff,0
4362053,McGhiesport,US,P,PPL,38.6379,-77.10776,,McGhiesport,0
4360786,Little Creek,US,H,STM,38.21262,-75.82493,,Little Creek,0
4361913,Mason-Dixon Settling Pond Number Four Dam,US,S,DAM,39.61678,-76.01967,,Mason-Dixon Settling Pond Number Four Dam,0
4357110,Gunter Hall,US,S,BLDG,39.65231,-78.93113,,Gunter Hall,0
4365239,Perry Hall School,US,S,SCH,39.404,-76.47274,,Perry Hall School,0
4363569,Neelsville,US,P,PPL,39.19538,-77.24387,,Neelsville,0
4358252,Holland Island,US,T,ISL,38.11957,-76.08827,,Holland Island,0
4357646,Hawkins Zouaves Monument,US,L,PRK,39.4526,-77.74333,,Hawkins Zouaves Monument,0
4365079,Paul Point,US,T,CAPE,38.28096,-76.12383,,Paul Point,0
"4356047,Germans Mill (historical),US,S,"""",39.65149,-76.98304,,Germans Mill (historical),0"
4363212,Mount Zion Baptist Church,US,S,CH,39.32677,-76.61052,,Mount Zion Baptist Church,0
4362491,Mill Pond,US,H,RSV,39.26565,-75.82561,,Mill Pond,0
4362746,Montgomery Village Off-Price Shopping Center,US,S,MALL,39.15483,-77.1997,,Montgomery Village Off-Price Shopping Center,0
4361116,Long Branch,US,H,BAY,37.97901,-76.01132,,Long Branch,0
4363281,Mountain Lake,US,H,RSV,39.40051,-79.37057,,Mountain Lake,0
4358266,Holler,US,P,PPL,39.47094,-77.15693,,Holler,0
4360748,Lisbons Little Creek,US,H,STM,39.31733,-77.05637,,Lisbons Little Creek,0
4364146,Nwe Oakland Cemetery,US,S,CMTY,39.41038,-76.90137,,Nwe Oakland Cemetery,0
4357849,Herring Bay,US,H,BAY,38.7529,-76.54329,,Herring Bay,0
4364082,Northwind Farms,US,P,PPL,39.40816,-76.49385,,Northwind Farms,0
4361247,Lor-J Estates,US,P,PPL,38.89622,-75.85771,,Lor-J Estates,0
4358136,Hillside Estates,US,P,PPL,39.38482,-77.48915,,Hillside Estates,0
4361123,Long Cove,US,H,BAY,39.15289,-76.51413,,Long Cove,0
4356027,Georgetown Square Shopping Center,US,S,MALL,39.02566,-77.12748,,Georgetown Square Shopping Center,0
4363052,Mount Olivet Cemetery,US,S,CMTY,38.14762,-75.76021,,Mount Olivet Cemetery,0
4362735,Montgomery Knolls,US,P,PPL,39.23761,-76.80664,,Montgomery Knolls,0
4360199,Lake Ruth,US,H,RSV,38.96678,-76.64135,,Lake Ruth,0
4363092,Mount Pleasant Church,US,S,CH,39.67039,-76.11467,,Mount Pleasant Church,0
4359460,Jims Gut,US,H,INLT,38.10484,-75.20463,,Jims Gut,0
4356660,Gravelly Run,US,H,STM,39.62928,-75.86438,,Gravelly Run,0
4359833,Kesler Tunnel,US,R,TNL,39.55287,-78.44668,,Kesler Tunnel,0
4356664,Gravely Run,US,H,STM,38.28513,-76.61052,,Gravely Run,0
